,Population in million #,"Population, 0-14 Years in million #","Population, 15-24 Years in million #","Population, 25-34 Years in million #","Population, 35-44 Years in million #","Population, 45-54 Years in million #","Population, 55+ Years in million #",Households in million #,"Consumer Spending, Clothing & Footwear (per Capita) in thousand GBP (£)","Consumer Spending, Household Goods & Services (per Capita) in thousand GBP (£)",Average Internet Connection Speed in thousand kbit/s,Internet Users in million #,Smartphone Penetration (% of population)
2000,58.9,11.2,7.1,8.7,8.7,7.7,15.5,24.9,0.6,0.6,0.1,26.9,
2001,59.1,11.1,7.3,8.5,8.9,7.7,15.7,25.1,0.6,0.6,0.2,28.3,
2002,59.3,11.1,7.4,8.3,9,7.6,15.9,25.2,0.7,0.6,0.2,29.7,
2003,59.6,11,7.6,8.1,9.2,7.5,16.2,25.2,0.7,0.6,0.3,31.2,
2004,59.9,10.9,7.7,8,9.3,7.5,16.4,25.3,0.7,0.6,0.9,32.8,
2005,60.3,10.8,7.9,7.9,9.3,7.6,16.7,25.8,0.7,0.6,1.3,34.6,
2006,60.8,10.8,8,7.9,9.3,7.8,17,26.3,0.8,0.7,1.7,36.5,
2007,61.5,10.9,8.2,8,9.2,8,17.2,26.3,0.8,0.7,2.2,38.6,
2008,62.2,11,8.2,8.1,9.1,8.2,17.5,26.4,0.8,0.7,2.8,40.8,
2009,62.8,11,8.3,8.3,9,8.5,17.7,26.5,0.8,0.6,3.7,43.1,23.3
2010,63.5,11.1,8.3,8.5,8.9,8.7,18,26.9,0.8,0.6,4.5,45.3,28.6
2011,64,11.2,8.3,8.6,8.8,8.9,18.2,27.3,0.8,0.6,5.8,47.5,34.8
2012,64.5,11.3,8.3,8.7,8.7,9,18.5,27.6,0.8,0.7,7.2,49.7,41.7
2013,65,11.4,8.2,8.8,8.6,9.1,18.8,27.6,0.9,0.7,8.7,51.8,49.1
2014,65.4,11.5,8.2,8.9,8.6,9.2,19.1,28.1,0.9,0.7,10.4,53.7,56.6
2015,65.9,11.6,8.1,9,8.5,9.3,19.4,28.3,1,0.7,12.4,55.5,63.9
2016,66.3,11.7,8,9.1,8.6,9.3,19.7,28.4,1,0.8,14.8,57.2,70.7
2017,66.7,11.8,7.9,9.1,8.6,9.2,20.1,28.6,1,0.8,17.7,58.7,76.9
2018,67.1,11.9,7.9,9.2,8.7,9.1,20.4,28.8,1,0.9,21.1,60,82.3
2019,67.5,12,7.8,9.2,8.8,9,20.8,29,1.1,0.8,24.9,61.1,86.8
2020,67.9,12,7.8,9.2,8.9,8.9,21.1,29.1,0.9,0.9,29.1,62.1,90.5
2021,68.2,12,7.7,9.1,9,8.8,21.5,29.3,1,0.9,33.7,62.9,92.1
2022,68.5,12,7.7,9.1,9.1,8.7,21.8,29.4,1.1,1,38.6,63.5,92.6
2023,68.8,12,7.8,9,9.2,8.7,22.1,29.6,1.2,1,43.7,64.1,93.1
2024,69,12,7.8,8.9,9.3,8.6,22.4,29.6,1.2,1,48.9,64.6,93.4
2025,69.3,12,7.9,8.8,9.4,8.6,22.7,29.8,1.2,1,54,65,93.7
2026,69.5,12,8,8.7,9.4,8.6,23,29.9,1.3,1,59.1,65.3,93.9
2027,69.8,11.9,8.1,8.5,9.5,8.6,23.2,30.1,1.3,1,64,65.7,94
2028,70,11.8,8.2,8.4,9.5,8.7,23.4,30.2,1.3,1,68.8,66,94.1
2029,70.3,11.7,8.3,8.3,9.5,8.8,23.6,30.3,1.3,1,73.2,66.3,94.2
2030,70.5,11.7,8.4,8.3,9.4,8.9,23.8,30.4,1.3,1,77.3,66.5,94.3
2031,70.7,11.6,8.5,8.2,9.4,9,24,30.5,1.4,1.1,81.1,66.8,94.3
2032,70.9,11.6,8.5,8.2,9.3,9.1,24.2,30.6,1.4,1.1,84.5,67,94.3
2033,71.1,11.6,8.5,8.3,9.2,9.2,24.4,30.7,1.4,1.1,87.5,67.2,94.4
2034,71.4,11.5,8.4,8.3,9.1,9.3,24.6,30.8,1.4,1.1,90.1,67.4,94.4
2035,71.6,11.5,8.4,8.4,9,9.4,24.8,30.9,1.5,1.1,92.3,67.6,94.4
2036,71.7,11.5,8.4,8.5,8.9,9.4,25.1,31,1.5,1.1,94.2,67.8,94.4
2037,71.9,11.5,8.3,8.6,8.8,9.5,25.3,31.2,1.5,1.2,95.8,68,94.4
2038,72.1,11.4,8.3,8.7,8.7,9.5,25.5,31.3,1.5,1.2,97.1,68.2,94.4
2039,72.3,11.4,8.3,8.9,8.6,9.5,25.7,31.3,1.6,1.2,98.2,68.3,94.4
2040,72.5,11.4,8.2,8.9,8.5,9.4,26,31.4,1.6,1.2,99.1,68.5,94.4
